,HIF,Beta,Cluster
1,AREA (MM2) OF [ESI_0080] IN [TISSUE]_HE,-0.033437860382700614,1
3,AREA (MM2) OF [STROMA] IN [TISSUE]_HE,-0.03396995853331788,1
5,AREA PROP [[EPITHELIAL] OVER [TUMOR]] IN [TISSUE]_HE,-0.004984573612627133,3
7,AREA PROP [[STROMA] OVER [TUMOR]] IN [TISSUE]_HE,0.004984575937933057,3
11,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF CANCER IN TUMOR_HE,-0.016533843831838396,4
16,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF LYMPHOCYTE IN EPITHELIAL_HE,0.006075709785189329,5
19,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF LYMPHOCYTE IN TUMOR_HE,0.002408138421049979,5
29,CELL CLUSTERING PROPERTIES: CALINSKI-HARABASZ INDEX OF CANCER IN ESI_0080_HE,-0.006144339751135371,1
30,CELL CLUSTERING PROPERTIES: CALINSKI-HARABASZ INDEX OF CANCER IN STROMA_HE,-0.011927433440363563,1
41,CELL CLUSTERING PROPERTIES: CALINSKI-HARABASZ INDEX OF MACROPHAGE IN ESI_0080_HE,0.013823761854786506,1
44,CELL CLUSTERING PROPERTIES: CALINSKI-HARABASZ INDEX OF PLASMA IN EPITHELIAL_HE,-0.014937119204894857,1
45,CELL CLUSTERING PROPERTIES: CALINSKI-HARABASZ INDEX OF PLASMA IN ESI_0080_HE,0.0016746456709823253,1
47,CELL CLUSTERING PROPERTIES: CALINSKI-HARABASZ INDEX OF PLASMA IN TUMOR_HE,-0.004826642541189201,1
57,CELL CLUSTERING PROPERTIES: CLUSTER EXTENT MEAN OF LYMPHOCYTE IN ESI_0080_HE,0.2775959434943889,8
58,CELL CLUSTERING PROPERTIES: CLUSTER EXTENT MEAN OF LYMPHOCYTE IN STROMA_HE,0.2632968442496566,8
59,CELL CLUSTERING PROPERTIES: CLUSTER EXTENT MEAN OF LYMPHOCYTE IN TUMOR_HE,0.42507240021111714,8
62,CELL CLUSTERING PROPERTIES: CLUSTER EXTENT MEAN OF MACROPHAGE IN STROMA_HE,0.10398041685109866,8
63,CELL CLUSTERING PROPERTIES: CLUSTER EXTENT MEAN OF MACROPHAGE IN TUMOR_HE,0.017756493934828338,8
65,CELL CLUSTERING PROPERTIES: CLUSTER EXTENT MEAN OF PLASMA IN ESI_0080_HE,-0.003180894546251183,9
88,CELL CLUSTERING PROPERTIES: CLUSTER SIZE MEAN OF CANCER IN EPITHELIAL_HE,-0.0414376753635107,3
89,CELL CLUSTERING PROPERTIES: CLUSTER SIZE MEAN OF CANCER IN ESI_0080_HE,-0.03544532924822262,3
91,CELL CLUSTERING PROPERTIES: CLUSTER SIZE MEAN OF CANCER IN TUMOR_HE,-0.03999594183218494,3
97,CELL CLUSTERING PROPERTIES: CLUSTER SIZE MEAN OF LYMPHOCYTE IN ESI_0080_HE,0.008962668021813554,8
101,CELL CLUSTERING PROPERTIES: CLUSTER SIZE MEAN OF MACROPHAGE IN ESI_0080_HE,0.053368390557596554,8
102,CELL CLUSTERING PROPERTIES: CLUSTER SIZE MEAN OF MACROPHAGE IN STROMA_HE,0.03826477754616598,8
106,CELL CLUSTERING PROPERTIES: CLUSTER SIZE MEAN OF PLASMA IN STROMA_HE,-0.0038317153894662772,8
108,CELL CLUSTERING PROPERTIES: CLUSTER SIZE STANDARD DEVIATION OF CANCER IN EPITHELIAL_HE,-0.0542560757656539,3
109,CELL CLUSTERING PROPERTIES: CLUSTER SIZE STANDARD DEVIATION OF CANCER IN ESI_0080_HE,-0.036986726318245816,3
111,CELL CLUSTERING PROPERTIES: CLUSTER SIZE STANDARD DEVIATION OF CANCER IN TUMOR_HE,-0.04349432318350761,3
117,CELL CLUSTERING PROPERTIES: CLUSTER SIZE STANDARD DEVIATION OF LYMPHOCYTE IN ESI_0080_HE,0.12518498854791904,8
118,CELL CLUSTERING PROPERTIES: CLUSTER SIZE STANDARD DEVIATION OF LYMPHOCYTE IN STROMA_HE,0.10915318220613464,8
119,CELL CLUSTERING PROPERTIES: CLUSTER SIZE STANDARD DEVIATION OF LYMPHOCYTE IN TUMOR_HE,0.014220233703248628,8
121,CELL CLUSTERING PROPERTIES: CLUSTER SIZE STANDARD DEVIATION OF MACROPHAGE IN ESI_0080_HE,0.12058408344023767,8
122,CELL CLUSTERING PROPERTIES: CLUSTER SIZE STANDARD DEVIATION OF MACROPHAGE IN STROMA_HE,0.10976107213177459,8
