,HIF,Beta,Cluster
0,AREA (MM2) OF [EPITHELIAL] IN [TISSUE]_HE,-0.0008634468545431046,1
1,AREA (MM2) OF [ESI_0080] IN [TISSUE]_HE,-0.010542739705699198,1
2,AREA (MM2) OF [NECROSIS] IN [TISSUE]_HE,0.0,2
3,AREA (MM2) OF [STROMA] IN [TISSUE]_HE,-0.0008659089063825263,1
4,AREA (MM2) OF [TUMOR] IN [TISSUE]_HE,-0.00197554856610301,1
5,AREA PROP [[EPITHELIAL] OVER [TUMOR]] IN [TISSUE]_HE,0.0,3
6,AREA PROP [[ESI_0080] OVER [TUMOR]] IN [TISSUE]_HE,0.0,4
7,AREA PROP [[STROMA] OVER [TUMOR]] IN [TISSUE]_HE,0.0,3
8,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF CANCER IN EPITHELIAL_HE,0.0,4
9,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF CANCER IN ESI_0080_HE,0.0,5
10,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF CANCER IN STROMA_HE,0.0,5
11,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF CANCER IN TUMOR_HE,0.0,4
12,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF FIBROBLAST IN EPITHELIAL_HE,0.0,6
13,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF FIBROBLAST IN ESI_0080_HE,0.0,6
14,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF FIBROBLAST IN STROMA_HE,0.0,6
15,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF FIBROBLAST IN TUMOR_HE,0.0,6
16,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF LYMPHOCYTE IN EPITHELIAL_HE,0.0,5
17,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF LYMPHOCYTE IN ESI_0080_HE,0.0,5
18,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF LYMPHOCYTE IN STROMA_HE,0.0,5
19,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF LYMPHOCYTE IN TUMOR_HE,0.0,5
20,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF MACROPHAGE IN EPITHELIAL_HE,0.0,7
21,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF MACROPHAGE IN ESI_0080_HE,0.01372049957866243,8
