,HIF,Beta,Cluster
0,AREA (MM2) OF [EPITHELIAL] IN [TISSUE]_HE,0.015347692368106585,1
1,AREA (MM2) OF [ESI_0080] IN [TISSUE]_HE,0.023364123709893426,1
2,AREA (MM2) OF [NECROSIS] IN [TISSUE]_HE,0.0,2
3,AREA (MM2) OF [STROMA] IN [TISSUE]_HE,0.023722126744362384,3
4,AREA (MM2) OF [TUMOR] IN [TISSUE]_HE,0.024322442575551464,1
5,AREA PROP [[EPITHELIAL] OVER [TUMOR]] IN [TISSUE]_HE,0.0,4
6,AREA PROP [[ESI_0080] OVER [TUMOR]] IN [TISSUE]_HE,0.0,5
7,AREA PROP [[STROMA] OVER [TUMOR]] IN [TISSUE]_HE,0.0,4
8,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF CANCER IN EPITHELIAL_HE,-0.0006644398054719172,6
9,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF CANCER IN ESI_0080_HE,-0.0003947086818476733,5
10,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF CANCER IN STROMA_HE,0.00010064351532158627,5
11,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF CANCER IN TUMOR_HE,0.0,6
12,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF FIBROBLAST IN EPITHELIAL_HE,-0.008614719254326072,6
13,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF FIBROBLAST IN ESI_0080_HE,-0.006396807302283781,3
14,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF FIBROBLAST IN STROMA_HE,0.0,3
15,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF FIBROBLAST IN TUMOR_HE,-0.000834515547687565,3
16,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF LYMPHOCYTE IN EPITHELIAL_HE,0.0,6
17,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF LYMPHOCYTE IN ESI_0080_HE,0.010971186948307461,3
18,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF LYMPHOCYTE IN STROMA_HE,0.01438932545818572,3
19,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF LYMPHOCYTE IN TUMOR_HE,0.0,6
20,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF MACROPHAGE IN EPITHELIAL_HE,0.011691128397955287,7
21,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF MACROPHAGE IN ESI_0080_HE,0.021284565456223606,7
22,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF MACROPHAGE IN STROMA_HE,0.0016933057752871277,7
23,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF MACROPHAGE IN TUMOR_HE,0.020700509798710305,7
24,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF PLASMA IN EPITHELIAL_HE,0.0,8
25,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF PLASMA IN ESI_0080_HE,0.020609502467334062,9
26,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF PLASMA IN STROMA_HE,0.0,9
27,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF PLASMA IN TUMOR_HE,0.021509222456751464,9
28,CELL CLUSTERING PROPERTIES: CALINSKI-HARABASZ INDEX OF CANCER IN EPITHELIAL_HE,0.007017339642074614,1
29,CELL CLUSTERING PROPERTIES: CALINSKI-HARABASZ INDEX OF CANCER IN ESI_0080_HE,-0.008492607080111602,1
30,CELL CLUSTERING PROPERTIES: CALINSKI-HARABASZ INDEX OF CANCER IN STROMA_HE,-0.005729842847251897,1
31,CELL CLUSTERING PROPERTIES: CALINSKI-HARABASZ INDEX OF CANCER IN TUMOR_HE,-0.0003587595065603684,1
