,HIF,Beta,Cluster
0,AREA (MM2) OF [EPITHELIAL] IN [TISSUE]_HE,-0.00045323462102162074,1
4,AREA (MM2) OF [TUMOR] IN [TISSUE]_HE,-0.02261931696579187,1
8,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF CANCER IN EPITHELIAL_HE,0.005141595639115472,6
9,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF CANCER IN ESI_0080_HE,-0.0008539706942049701,5
11,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF CANCER IN TUMOR_HE,-0.0021562911300516937,6
16,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF LYMPHOCYTE IN EPITHELIAL_HE,-0.0012515738361747976,6
22,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF MACROPHAGE IN STROMA_HE,-0.016913448409356872,9
23,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF MACROPHAGE IN TUMOR_HE,-0.003935455821244689,8
25,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF PLASMA IN ESI_0080_HE,0.0029794783549760328,11
29,CELL CLUSTERING PROPERTIES: CALINSKI-HARABASZ INDEX OF CANCER IN ESI_0080_HE,-0.16903396460170328,1
30,CELL CLUSTERING PROPERTIES: CALINSKI-HARABASZ INDEX OF CANCER IN STROMA_HE,-0.015315921660818181,1
31,CELL CLUSTERING PROPERTIES: CALINSKI-HARABASZ INDEX OF CANCER IN TUMOR_HE,-0.015595700277053603,1
32,CELL CLUSTERING PROPERTIES: CALINSKI-HARABASZ INDEX OF FIBROBLAST IN EPITHELIAL_HE,-0.01728329994391353,1
33,CELL CLUSTERING PROPERTIES: CALINSKI-HARABASZ INDEX OF FIBROBLAST IN ESI_0080_HE,0.004968382276680737,1
34,CELL CLUSTERING PROPERTIES: CALINSKI-HARABASZ INDEX OF FIBROBLAST IN STROMA_HE,0.021523355069338453,1
36,CELL CLUSTERING PROPERTIES: CALINSKI-HARABASZ INDEX OF LYMPHOCYTE IN EPITHELIAL_HE,0.011537694991555929,1
37,CELL CLUSTERING PROPERTIES: CALINSKI-HARABASZ INDEX OF LYMPHOCYTE IN ESI_0080_HE,-0.012323229431195695,1
38,CELL CLUSTERING PROPERTIES: CALINSKI-HARABASZ INDEX OF LYMPHOCYTE IN STROMA_HE,-0.008953714073778712,1
44,CELL CLUSTERING PROPERTIES: CALINSKI-HARABASZ INDEX OF PLASMA IN EPITHELIAL_HE,-0.002097162391226128,1
47,CELL CLUSTERING PROPERTIES: CALINSKI-HARABASZ INDEX OF PLASMA IN TUMOR_HE,0.0064821219045472275,1
48,CELL CLUSTERING PROPERTIES: CLUSTER EXTENT MEAN OF CANCER IN EPITHELIAL_HE,0.061793423642579046,6
52,CELL CLUSTERING PROPERTIES: CLUSTER EXTENT MEAN OF FIBROBLAST IN EPITHELIAL_HE,0.0013739275355223383,7
54,CELL CLUSTERING PROPERTIES: CLUSTER EXTENT MEAN OF FIBROBLAST IN STROMA_HE,-0.0004109006108620972,3
56,CELL CLUSTERING PROPERTIES: CLUSTER EXTENT MEAN OF LYMPHOCYTE IN EPITHELIAL_HE,0.0005450055152403843,9
58,CELL CLUSTERING PROPERTIES: CLUSTER EXTENT MEAN OF LYMPHOCYTE IN STROMA_HE,-0.016622278859572955,11
60,CELL CLUSTERING PROPERTIES: CLUSTER EXTENT MEAN OF MACROPHAGE IN EPITHELIAL_HE,-0.002558285429190313,8
65,CELL CLUSTERING PROPERTIES: CLUSTER EXTENT MEAN OF PLASMA IN ESI_0080_HE,-0.004295569830996817,11
67,CELL CLUSTERING PROPERTIES: CLUSTER EXTENT MEAN OF PLASMA IN TUMOR_HE,-0.19142701430986853,11
71,CELL CLUSTERING PROPERTIES: CLUSTER EXTENT STANDARD DEVIATION OF CANCER IN TUMOR_HE,0.015927656419745258,6
75,CELL CLUSTERING PROPERTIES: CLUSTER EXTENT STANDARD DEVIATION OF FIBROBLAST IN TUMOR_HE,0.0013327311313535374,3
78,CELL CLUSTERING PROPERTIES: CLUSTER EXTENT STANDARD DEVIATION OF LYMPHOCYTE IN STROMA_HE,0.010828475602736691,3
83,CELL CLUSTERING PROPERTIES: CLUSTER EXTENT STANDARD DEVIATION OF MACROPHAGE IN TUMOR_HE,0.018671316718027804,8
