,HIF,Beta,Cluster
0,AREA (MM2) OF [EPITHELIAL] IN [TISSUE]_HE,0.007434767044559903,1
1,AREA (MM2) OF [ESI_0080] IN [TISSUE]_HE,0.0007797415578496376,1
2,AREA (MM2) OF [NECROSIS] IN [TISSUE]_HE,0.0,2
3,AREA (MM2) OF [STROMA] IN [TISSUE]_HE,0.009255280861620498,1
4,AREA (MM2) OF [TUMOR] IN [TISSUE]_HE,0.003686277453739121,1
5,AREA PROP [[EPITHELIAL] OVER [TUMOR]] IN [TISSUE]_HE,-0.005421552596595102,3
6,AREA PROP [[ESI_0080] OVER [TUMOR]] IN [TISSUE]_HE,0.0,4
7,AREA PROP [[STROMA] OVER [TUMOR]] IN [TISSUE]_HE,0.005421552596595113,3
8,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF CANCER IN EPITHELIAL_HE,-0.00031014928444361316,4
9,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF CANCER IN ESI_0080_HE,0.0,5
10,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF CANCER IN STROMA_HE,0.0,5
11,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF CANCER IN TUMOR_HE,0.0,4
12,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF FIBROBLAST IN EPITHELIAL_HE,0.0,6
13,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF FIBROBLAST IN ESI_0080_HE,0.0,6
14,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF FIBROBLAST IN STROMA_HE,0.0,6
15,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF FIBROBLAST IN TUMOR_HE,0.0,6
16,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF LYMPHOCYTE IN EPITHELIAL_HE,0.0,5
17,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF LYMPHOCYTE IN ESI_0080_HE,0.00029995264372985466,5
18,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF LYMPHOCYTE IN STROMA_HE,0.0037705457631645144,5
19,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF LYMPHOCYTE IN TUMOR_HE,0.0008155399428308266,5
20,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF MACROPHAGE IN EPITHELIAL_HE,0.0036778668218302485,7
21,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF MACROPHAGE IN ESI_0080_HE,0.007959968597097244,8
22,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF MACROPHAGE IN STROMA_HE,0.03804361885466536,8
23,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF MACROPHAGE IN TUMOR_HE,0.018357320262264033,8
24,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF PLASMA IN EPITHELIAL_HE,0.002860606835664132,9
25,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF PLASMA IN ESI_0080_HE,0.013695525576444661,9
26,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF PLASMA IN STROMA_HE,0.024477832453455514,8
27,CELL CLUSTERING PROPERTIES: BALL-HALL INDEX OF PLASMA IN TUMOR_HE,0.016934760597803203,9
28,CELL CLUSTERING PROPERTIES: CALINSKI-HARABASZ INDEX OF CANCER IN EPITHELIAL_HE,0.0,1
29,CELL CLUSTERING PROPERTIES: CALINSKI-HARABASZ INDEX OF CANCER IN ESI_0080_HE,-0.0002061524020513408,1
30,CELL CLUSTERING PROPERTIES: CALINSKI-HARABASZ INDEX OF CANCER IN STROMA_HE,0.0,1
31,CELL CLUSTERING PROPERTIES: CALINSKI-HARABASZ INDEX OF CANCER IN TUMOR_HE,0.0,1
32,CELL CLUSTERING PROPERTIES: CALINSKI-HARABASZ INDEX OF FIBROBLAST IN EPITHELIAL_HE,0.0,1
33,CELL CLUSTERING PROPERTIES: CALINSKI-HARABASZ INDEX OF FIBROBLAST IN ESI_0080_HE,0.0,1
34,CELL CLUSTERING PROPERTIES: CALINSKI-HARABASZ INDEX OF FIBROBLAST IN STROMA_HE,0.0,1
35,CELL CLUSTERING PROPERTIES: CALINSKI-HARABASZ INDEX OF FIBROBLAST IN TUMOR_HE,0.0,1
36,CELL CLUSTERING PROPERTIES: CALINSKI-HARABASZ INDEX OF LYMPHOCYTE IN EPITHELIAL_HE,-0.00040098293348437506,1
37,CELL CLUSTERING PROPERTIES: CALINSKI-HARABASZ INDEX OF LYMPHOCYTE IN ESI_0080_HE,0.0028003150414943286,1
38,CELL CLUSTERING PROPERTIES: CALINSKI-HARABASZ INDEX OF LYMPHOCYTE IN STROMA_HE,0.0020113832852389738,1
39,CELL CLUSTERING PROPERTIES: CALINSKI-HARABASZ INDEX OF LYMPHOCYTE IN TUMOR_HE,0.0027328334695393354,1
40,CELL CLUSTERING PROPERTIES: CALINSKI-HARABASZ INDEX OF MACROPHAGE IN EPITHELIAL_HE,0.0,1
41,CELL CLUSTERING PROPERTIES: CALINSKI-HARABASZ INDEX OF MACROPHAGE IN ESI_0080_HE,0.013292391834739644,1
42,CELL CLUSTERING PROPERTIES: CALINSKI-HARABASZ INDEX OF MACROPHAGE IN STROMA_HE,0.009401099559265007,1
43,CELL CLUSTERING PROPERTIES: CALINSKI-HARABASZ INDEX OF MACROPHAGE IN TUMOR_HE,0.006503220076834987,1
44,CELL CLUSTERING PROPERTIES: CALINSKI-HARABASZ INDEX OF PLASMA IN EPITHELIAL_HE,-0.0008044537620171457,1
